x,y,prcp,tmean,DEM,SDV_100cm,Silt_100cm,Clay_100cm
742446,852960,1775.157837,19.72050667,28.37805557,1.115886092,22.39081764,13.81882477
885446,2381960,903.7368164,6.896923542,374.390625,0.032598715,10.68466473,4.843985081
859446,1286960,1550.789429,15.48014545,289.4581604,0.038986176,28.73778725,23.12718964
-2179554,2471960,613.2368164,12.55245304,462.2417908,0.092745639,34.84554672,33.56079102
133446,1334960,1229.184204,16.39699936,162.005249,0.145270899,42.03489304,28.16308594
-1205554,2685960,413.9736938,5.614040375,1554.177734,1.258126736,28.16143227,21.03305817
-2323554,2202960,1688,11.35993004,458.1921692,0.752066135,37.41836548,20.25720787
-975554,2788960,373,7.326893806,935.6343994,5.817263603,26.25454521,58.2178154
-1012554,2591960,375.1842041,8.276342392,1160.535156,1.214508772,43.56152344,30.43691444
-19554,1090960,1078.263184,18.20789146,141.0020905,1.001836538,27.20624352,50.13113022
217446,1088960,1388.947388,17.93401909,67.16832733,0.001101928,52.15785217,19.00367355
-58554,1255960,1119.394775,16.50614548,279.3855591,0.011049724,32.74659348,33.94576263
396446,2034960,969.6315918,10.59241772,171.7724457,0.02683159,21.99609947,14.79781151
-370554,925960,636.8157959,18.21882629,594.7807617,0.697428823,34.38530731,31.44628143
1317446,1070960,1207.131592,19.4318943,16.98740578,0.382001847,13.47603321,30.33415985
-249554,619960,667,21.84991264,89.86574554,3.222773075,16.57878876,24.22690582
-1156554,2376960,634.3421021,2.459185123,2300.18335,0.81184572,33.01377487,16.35124016
-1558554,1681960,393.578949,11.04773426,1838.973511,1,31.20000076,39.79999924
-146554,1456960,869.5,15.50640106,311.4317627,0.668686867,46.96088028,34.76602173
855446,883960,1671.105225,19.59905243,39.23265457,0.100000001,7.556382179,6.381450653
790446,953960,1575.842163,18.70472145,35.70368576,0.122497708,25.69908142,17.24416924
1271446,975960,1315.421021,19.54002953,45.64213943,0.061157025,6.849402905,7.552525043
683446,1264960,1500.157837,16.34330368,98.77219391,0.911588788,28.60700989,25.5580368
351446,1147960,1412.131592,17.25396538,37.65522385,0.057567317,35.16109467,20.79749298
-958554,1488960,546.5789185,6.071052074,2629.744873,0.457116634,25.28686905,28.90954971
717446,1094960,1440.710571,17.67773056,56.3208847,1.239295602,42.45782852,44.70658112
-59554,898960,1001.578918,19.43848419,132.8903046,1.01105988,17.07806396,21.68193436
-1545554,1944960,382.2105408,6.994436264,2755.756348,0.497796148,39.82066345,16.29779625
991446,894960,1593.184204,19.50124168,32.33834457,0.301658988,8.657326698,20.28599167
354446,1517960,1205.078979,13.7145834,338.2747803,0.202203855,51.64215088,30.96437073
522446,1011960,1495.289429,18.3596611,90.0324707,0.867497683,63.84783173,22.66491127
904446,2425960,837.4736938,6.482941628,353.684021,0.216065913,9.867456436,6.286817551
-117554,1295960,982.8684082,16.60721397,285.8019409,0.659595966,26.19807053,29.03039551
905446,872960,1669.552612,19.83696556,27.39935875,0.100000001,5.441127777,3.121719122
-230554,1027960,856,17.60774231,439.3179626,0.39742884,34.66078949,34.28347015
-2031554,2385960,434.921051,7.877497196,1525.175903,0.342699736,31.95564842,31.31156921
-167554,1320960,928.0263062,16.32752419,337.0114136,0.068595044,49.03452682,17.13113022
-696554,837960,411.7894592,16.32226944,1517.137939,0.600000024,36.84940338,23.12929344
1402446,866960,1374.289429,21.04001808,12.33843327,0.197520658,2.926446199,3.208815336
2079446,2633960,1252.052612,7.609004498,30.0028801,0.093854755,47.67551041,19.54999924
1390446,803960,1321.736816,21.44421577,0.042374358,0.133962274,6.748113155,6.266981125
-765554,831960,378.9473572,16.87294197,1443.019653,0.874747455,26.16547394,22.12442589
146446,840960,1487.368408,19.56748199,50.04557037,0.268778712,26.71836472,14.97796154
1253446,925960,1344.105225,19.89884949,43.56304932,0.062626265,6.219651222,6.95289278
718446,1828960,1136.526367,12.42635059,145.6788177,0.014348786,56.34602737,23.04205322
205446,1488960,1231.473633,13.89510822,368.4290771,0.200000003,45.07079697,35.3664856
809446,1427960,1409.631592,14.79653263,191.6008148,0.006728972,57.56348038,28.32017136
1086446,1040960,1304.421021,18.51527214,111.2776947,0.12648648,20.55513573,34.75740433
538446,990960,1551.447388,18.31179619,119.6383743,0.135904506,44.69283676,17.99201012
-1050554,2445960,364.078949,5.158085823,2222.049316,1,30.27667618,27.54095459
1282446,799960,1468.447388,20.85011864,13.95228004,0.100000001,1.085674882,3.358402252
254446,862960,1633.342163,19.31280899,57.21720123,0.065621942,63.32340622,15.21341801
-179554,389960,617.8684082,23.23443031,11.56341457,0.730945826,7.671442032,8.865472794
-74554,1147960,1060.894775,17.93453979,191.4246368,1.014508724,25.498806,56.27254486
752446,901960,1787.657837,19.15018845,24.03912735,0.835261703,16.27180862,6.024058819
-1195554,2295960,846.8947144,2.733343363,2414.869629,0.782093644,30.18328857,22.33370018
303446,1716960,1137.631592,12.97792053,242.8689423,0.237832874,54.19623566,32.82773209
239446,1156960,1400.684204,17.18283463,98.18138123,0.311294764,35.79311371,25.87878799
1039446,830960,1595.078979,20.12476158,7.098609447,0.136547297,8.263269424,12.72470188
-321554,1192960,655.1052856,17.71574593,376.3237305,1.302938461,38.68503189,34.60927582
-1074554,1738960,572.3421021,6.747800827,2400.616699,0.367033988,32.32910919,35.8412323
1325446,901960,1345.184204,20.3314724,36.36188507,0.100000001,5.351423264,10.16629887
-1265554,1968960,467.4473572,6.053318501,2190.899658,0.553627193,44.99412537,26.46767807
1097446,964960,1334.394775,19.3409977,44.1604805,0.224793389,10.21368217,12.42754841
713446,1116960,1426.157837,17.58616829,52.50684738,0.358208954,30.56641769,28.58712769
262446,1087960,1428.368408,17.61254692,79.55794525,0.424516141,27.07999992,28.63741875
-1496554,2147960,409.8684082,5.953774452,2412.858643,0.107713506,46.16345215,17.12020111
1501446,1508960,1251.684204,15.7440958,147.5194092,0.172967866,17.40860176,22.87608719
-70554,1329960,1061.736816,16.39809418,276.1983948,0.16151014,24.29272652,21.33149147
-1086554,1150960,412.1842041,12.6107378,1913.731201,1,34.90000153,29.10000038
-1362554,1735960,356.9736938,9.619661331,1983.085693,0.968962312,30.19770622,23.78016472
1239446,862960,1425.947388,20.34411812,12.17817402,0.100000001,2.163241148,2.182411194
-15554,1470960,1060.263184,15.36036682,275.1178284,0.032506887,32.36124802,22.87153435
1370446,1014960,1229.763184,20.03035545,9.688340187,0.075482093,2.162626266,4.339118481
360446,1379960,1417.052612,15.3555851,243.0488434,0.014640884,31.07200813,23.61150932
