Scenario,Symbolic,DNN+Symbolic
"noise_x=0.0, noise_y=0.0",prcp*(0.7375224 - 0.00014451888*prcp),30.7016814021433*0.9841142**prcp + prcp*(0.816475 - 0.0010258646*prcp**0.7701722) - 13.795746223885
"noise_x=0.05, noise_y=0.0",prcp**0.91569006,"""-prcp*(0.00014337192*prcp - 0.73358744) + 2.51812042466301"""
"noise_x=0.1, noise_y=0.0",prcp**0.9140894,prcp*(0.7451056 - 0.00015040016*prcp)
"noise_x=0.15, noise_y=0.0",prcp**0.9111035,prcp*(0.00015422776*Silt_100cm - 0.00015422776*prcp + 0.733098) + tmean
"noise_x=0.0, noise_y=0.05",prcp**0.9161424,prcp*(0.783353 - 0.00061335403*prcp**0.8261396) - 6.6442995
"noise_x=0.05, noise_y=0.05",prcp**0.9158291,prcp*(-0.19915888 + exp(-0.000207893582102674*prcp)) - 19.139917
"noise_x=0.1, noise_y=0.05",prcp**0.91424406,prcp*(0.7325729 - 0.000146657*prcp) + 10.030381
"noise_x=0.15, noise_y=0.05",prcp**0.9103422,tmean + (Silt_100cm + prcp)*(-0.000193388938384242*Silt_100cm - 0.00014930178*prcp + 0.7263438)
"noise_x=0.0, noise_y=0.1",prcp**0.9161662,prcp*(0.81762916 - 0.001270697*prcp**0.74182606) - 12.916787
"noise_x=0.05, noise_y=0.1",prcp**0.9152405,prcp*(0.745785 - 0.00015203719*prcp)
"noise_x=0.1, noise_y=0.1",prcp**0.91447514,prcp*(0.74502903 - 0.00015060426*prcp)
"noise_x=0.15, noise_y=0.1",prcp**0.911633,13.8932901421253*prcp**0.5500978
"noise_x=0.0, noise_y=0.15",prcp**0.9164071,prcp*(0.72006136 - 0.00013672288*prcp) + 8.634206
"noise_x=0.05, noise_y=0.15",prcp**0.9158202,prcp*(0.7282936 - 0.00013999287*prcp) + 3.6066403
"noise_x=0.1, noise_y=0.15",prcp**0.9140814,prcp*(0.74508375 - 0.0001504338*prcp)
"noise_x=0.15, noise_y=0.15",prcp**0.9124045,prcp*(0.75067174 - 0.00015404182*prcp)
